,prolific_id,title,cond,item_idx,item_id,q_id,a_id,question,answer,rt,time,exp,a,yes,no,unclear,val,Unnamed: 0,iter
132,5ecff76b3acdb0095ebf080d,Food Prep,non_moral,2.0,59,0,0,"You are preparing pasta with fresh vegetables, and you are deciding on the  order in which you will do the various things you need to do. You are in a big hurry. At the moment you have a slight urge to cut vegetables. If you first start the water boiling and then cut the vegetables you will be done in twenty minutes. If you cut the vegetables and then start the water boiling you will be done in forty minutes. Would you cut the vegetables first and then start the water boiling in order to satisfy your slight urge to cut vegetables?",No,32178.0,2022-09-09 18:56:15,non_moral,No,False,True,False,no,,
133,5ecff76b3acdb0095ebf080d,Food Prep,non_moral,2.0,59,1,1,Why?,It makes no logical sense to do so,32178.0,2022-09-09 18:56:16,non_moral,It makes no logical sense to do so,na,na,na,na,,
134,5ecff76b3acdb0095ebf080d,Crying Baby,personal_moral,3.0,27,0,0,"Enemy soldiers have taken over your village. They have orders to kill all  remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople?",Unsure,37782.0,2022-09-09 18:56:53,personal_moral,Unsure,False,False,True,unclear,,
135,5ecff76b3acdb0095ebf080d,Crying Baby,personal_moral,3.0,27,1,1,Why?,"Logically yes, morally no",37782.0,2022-09-09 18:56:54,personal_moral,"Logically yes, morally no",na,na,na,na,,
136,5ecff76b3acdb0095ebf080d,Illegal Lunch,impersonal_moral,4.0,19,0,0,"You are a lawyer working on a big case. The judge presiding over  the trial happens to be someone you knew from law school. The two of you were rather friendly back then, but now, decades later, it seems that your old friend barely remembers you. Youâ€™re quite sure that if you were to talk to him over lunch, you could jog his memory and he would begin to see you as an old buddy, which would be very good for your work on this case. Itâ€™s illegal for judges and lawyers working on the same case to meet socially. Is it appropriate for you to meet with this judge socially in order to help you win your case?",No,29268.0,2022-09-09 18:57:22,impersonal_moral,No,False,True,False,no,,
137,5ecff76b3acdb0095ebf080d,Illegal Lunch,impersonal_moral,4.0,19,1,1,Why?,It is illegal to do so as stated,29268.0,2022-09-09 18:57:23,impersonal_moral,It is illegal to do so as stated,na,na,na,na,,
140,5ecff76b3acdb0095ebf080d,Coupons,non_moral,5.0,51,1,1,Why?,"More off, and it would otherwise be wasted.",25257.0,2022-09-09 18:57:48,non_moral,"More off, and it would otherwise be wasted.",na,na,na,na,,
141,5ecff76b3acdb0095ebf080d,Coupons,non_moral,5.0,51,0,0,"You have gone to a bookstore to buy $50 worth of books. You  have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year?",Yes,25257.0,2022-09-09 18:57:49,non_moral,Yes,True,False,False,yes,,
142,5ecff76b3acdb0095ebf080d,Stock Tip,impersonal_moral,6.0,18,0,0,"You are a management consultant working on a case for a large corporate  client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt?",No,35625.0,2022-09-09 18:58:24,impersonal_moral,No,False,True,False,no,,
143,5ecff76b3acdb0095ebf080d,Stock Tip,impersonal_moral,6.0,18,1,1,Why?,Because it is forbidden by law.,35625.0,2022-09-09 18:58:25,impersonal_moral,Because it is forbidden by law.,na,na,na,na,,
146,5ecff76b3acdb0095ebf080d,Taxes,impersonal_moral,7.0,15,1,1,Why?,It is illegal and wrong to do so,26792.0,2022-09-09 18:58:51,impersonal_moral,It is illegal and wrong to do so,na,na,na,na,,
147,5ecff76b3acdb0095ebf080d,Taxes,impersonal_moral,7.0,15,0,0,"You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",No,26792.0,2022-09-09 18:58:52,impersonal_moral,No,False,True,False,no,,
148,5ecff76b3acdb0095ebf080d,Bomb 2,personal_moral,8.0,35,0,0,"You are negotiating with a powerful and determined terrorist who is about to  set off a bomb in a crowded area. Your one advantage is that you have his teenage son in your custody. There is only one thing that you can do to stop him from detonating his bomb, which will kill thousands of people if detonated. To stop him, you must contact him over the satellite hook-up that he has established and, in front of the camera, break one of his sonâ€™s arms and then threaten to break the other one if he does not give himself up. Is it appropriate for you to break the terroristâ€™s sonâ€™s arm in order to prevent the terrorist from killing thousands of people with his bomb?",Yes,29933.0,2022-09-09 18:59:21,personal_moral,Yes,True,False,False,yes,,
149,5ecff76b3acdb0095ebf080d,Bomb 2,personal_moral,8.0,35,1,1,Why?,A broken arm can heal over time,29933.0,2022-09-09 18:59:22,personal_moral,A broken arm can heal over time,na,na,na,na,,
152,5ecff76b3acdb0095ebf080d,Preventing the Spread 2,personal_moral,9.0,33,1,1,Why?,For the greater good of the community,28292.0,2022-09-09 18:59:49,personal_moral,For the greater good of the community,na,na,na,na,,
153,5ecff76b3acdb0095ebf080d,Preventing the Spread 2,personal_moral,9.0,33,0,0,You are a waiter. You overhear one of your customers say that he  is about to go to jail and that in his last forty-eight hours of freedom he plans to infect as many people as possible with HIV. You know him well enough to know that he is telling the truth and that he has access to many potential victims. You happen to know that he has a very strong allergy to poppy seeds. If he eats even one he will go into convulsions and have to be hospitalized. for at least forty-eight hours. Is it appropriate for you to cause this man to have a serious allergy attack in order to prevent him from spreading HIV?,Yes,28292.0,2022-09-09 18:59:50,personal_moral,Yes,True,False,False,yes,,
154,5ecff76b3acdb0095ebf080d,Speedboat,impersonal_moral,10.0,10,0,0,"While on vacation on a remote island, you are fishing from a seaside  dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm?",Yes,29850.0,2022-09-09 19:00:19,impersonal_moral,Yes,True,False,False,yes,,
155,5ecff76b3acdb0095ebf080d,Speedboat,impersonal_moral,10.0,10,1,1,Why?,"He wouldnt like it, but for the greater good.",29850.0,2022-09-09 19:00:20,impersonal_moral,"He wouldnt like it, but for the greater good.",na,na,na,na,,
156,5ecff76b3acdb0095ebf080d,Standard Turnips,non_moral,11.0,43,0,0,You are a farm worker driving a turnip-harvesting machine. You are approaching two  diverging paths. By choosing the path on the left you will harvest ten bushels of turnips. By choosing the path on the right you will harvest twenty bushels of turnips. If you do nothing your turnip-harvesting machine will turn to the left. Would you turn your turnip-picking machine to the right in order to harvest twenty bushels of turnips instead of ten?,Yes,31185.0,2022-09-09 19:00:51,non_moral,Yes,True,False,False,yes,,
157,5ecff76b3acdb0095ebf080d,Standard Turnips,non_moral,11.0,43,1,1,Why?,Double the return of turnips.,31185.0,2022-09-09 19:00:52,non_moral,Double the return of turnips.,na,na,na,na,,
160,5ecff76b3acdb0095ebf080d,Ecologists,personal_moral,13.0,34,0,0,"You are part of a group of ecologists who live in a remote  stretch of jungle. The entire group, which includes eight children, has been taken hostage by a group of paramilitary terrorists. One of the terrorists takes a liking to you. He informs you that his leader intends to kill you and the rest of the hostages the following morning. He is willing to help you and the children escape, but as an act of good faith he wants you to kill one of your fellow hostages whom he does not like. If you refuse his offer all the hostages including the children and yourself will die. If you accept his offer then the others will die in the morning but you and the eight children will escape. Is it appropriate for you to kill one of your fellow hostages in order to escape from the terrorists and save the lives of the eight children?",Maybe,47653.0,2022-09-09 19:02:08,personal_moral,Maybe,False,False,True,unclear,,
161,5ecff76b3acdb0095ebf080d,Ecologists,personal_moral,13.0,34,1,1,Why?,More information is needed,47653.0,2022-09-09 19:02:09,personal_moral,More information is needed,na,na,na,na,,
164,5ecff76b3acdb0095ebf080d,Generic Brand,non_moral,14.0,46,0,0,"You have a headache. You go to the pharmacy with the intention of  buying a particular name-brand headache medicine. When you get there you discover that the pharmacy is out of the brand you were looking for. The pharmacist, whom youâ€™ve known for a long time and in whom you have a great deal of trust, tells you that he has in stock a generic product which is, in his words, â€œexactly the sameâ€ as the product you had originally intended to buy. Would you purchase the generic brand instead of searching further for the name-brand product you were looking for?",Yes,20624.0,2022-09-09 19:02:29,non_moral,Yes,True,False,False,yes,,
165,5ecff76b3acdb0095ebf080d,Generic Brand,non_moral,14.0,46,1,1,Why?,Trust the knowledge of pharmacist,20624.0,2022-09-09 19:02:30,non_moral,Trust the knowledge of pharmacist,na,na,na,na,,
166,5ecff76b3acdb0095ebf080d,Smother for dollars,personal_moral,15.0,26,1,1,Why?,That's murder for money. ,29249.0,2022-09-09 19:02:58,personal_moral,That's murder for money. ,na,na,na,na,,
168,5ecff76b3acdb0095ebf080d,Smother for dollars,personal_moral,15.0,26,0,0,"You are in hospital lounge waiting to visit a sick friend. A young  man sitting next to you explains that his father is very ill. The doctors believe that he has a week to live at most. He explains further that his father has a substantial life insurance policy that expires at midnight. If his father dies before midnight, this young man will receive a very large sum of money. He says that the money would mean a great deal to him and that no good will come from his fatherâ€™s living a few more days. He offers you half a million dollars to go up to his fatherâ€™s room and smother his father with a pillow. Is it appropriate for you to kill this manâ€™s father in order to get money for yourself and this young man?",No,29249.0,2022-09-09 19:02:59,personal_moral,No,False,True,False,no,,
170,5ecff76b3acdb0095ebf080d,Standard Fumes,impersonal_moral,16.0,4,0,0,"You are the late-night watchman in a hospital. Due to an accident in  the building next door, there are deadly fumes rising up through the hospitalâ€™s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients?",Yes,28297.0,2022-09-09 19:03:27,impersonal_moral,Yes,True,False,False,yes,,
171,5ecff76b3acdb0095ebf080d,Standard Fumes,impersonal_moral,16.0,4,1,1,Why?,1 death is better than three,28297.0,2022-09-09 19:03:28,impersonal_moral,1 death is better than three,na,na,na,na,,
172,5ecff76b3acdb0095ebf080d,Resume,impersonal_moral,17.0,14,1,1,Why?,lying on the form is wrong,18306.0,2022-09-09 19:03:45,impersonal_moral,lying on the form is wrong,na,na,na,na,,
173,5ecff76b3acdb0095ebf080d,Resume,impersonal_moral,17.0,14,0,0,"You have a friend who has been trying to find a job lately  without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment?",no,18306.0,2022-09-09 19:03:46,impersonal_moral,no,False,True,False,no,,
178,5ecff76b3acdb0095ebf080d,Sacrifice,personal_moral,19.0,39,0,0,"You, your husband, and your four children are crossing a mountain range on  your return journey to your homeland. You have inadvertently set up camp on a local clanâ€™s sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children?",Not really,39164.0,2022-09-09 19:04:47,personal_moral,Not really,False,False,True,unclear,,
179,5ecff76b3acdb0095ebf080d,Sacrifice,personal_moral,19.0,39,1,1,Why?,The local law may not be valid,39164.0,2022-09-09 19:04:48,personal_moral,The local law may not be valid,na,na,na,na,,
180,5ecff76b3acdb0095ebf080d,Survey,non_moral,20.0,50,0,0," A representative of a reputable, national survey organization calls you at your  home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200?",yes,16872.0,2022-09-09 19:05:04,non_moral,yes,True,False,False,yes,,
181,5ecff76b3acdb0095ebf080d,Survey,non_moral,20.0,50,1,1,Why?,"if it seems legit, worth having a go",16872.0,2022-09-09 19:05:05,non_moral,"if it seems legit, worth having a go",na,na,na,na,,
184,5ecff76b3acdb0095ebf080d,Choosing Classes,non_moral,21.0,56,0,0,"You are beginning your senior year of college. In order to fulfill your  graduation requirements you need to take a history class and a science class by the end of the year. During the fall term, the history class you want to take is scheduled at the same time as the science class you want to take. During the spring term the same history class is offered, but the science class is not. Would you take the history class during the fall term in order to help you fulfill your graduation requirements?",no,17807.0,2022-09-09 19:05:22,non_moral,no,False,True,False,no,,
185,5ecff76b3acdb0095ebf080d,Choosing Classes,non_moral,21.0,56,1,1,Why?,you need to take the science one,17807.0,2022-09-09 19:05:23,non_moral,you need to take the science one,na,na,na,na,,
186,5ecff76b3acdb0095ebf080d,Donation,impersonal_moral,22.0,5,0,0,You are at home one day when the mail arrives. You receive a  letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money?,maybe,26314.0,2022-09-09 19:05:49,impersonal_moral,maybe,False,False,True,unclear,,
187,5ecff76b3acdb0095ebf080d,Donation,impersonal_moral,22.0,5,1,1,Why?,depends on your finances at the time,26314.0,2022-09-09 19:05:50,impersonal_moral,depends on your finances at the time,na,na,na,na,,
190,62d6d77df59450e545fb22f6,Footbridge,personal_moral,0.0,22,1,1,Why?,I feel that each living human has the right to live and feel will be unfair  to carry out the attempt to save five people as that person will have a family maybe kids many loved ones who will suffer because i didn't think that persons live was important enough to be protected ,525093.0,2022-09-09 19:06:00,personal_moral,I feel that each living human has the right to live and feel will be unfair  to carry out the attempt to save five people as that person will have a family maybe kids many loved ones who will suffer because i didn't think that persons live was important enough to be protected ,na,na,na,na,,
191,62d6d77df59450e545fb22f6,Footbridge,personal_moral,0.0,22,0,0,"A runaway trolley is heading down the tracks toward five workmen who will  be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?",I personally wouldn't have the heart to be able to carry out such act i would otherwise carry this burden all my life and wouldn't be able to forgive myself ,525093.0,2022-09-09 19:06:01,personal_moral,I personally wouldn't have the heart to be able to carry out such act i would otherwise carry this burden all my life and wouldn't be able to forgive myself ,False,False,True,unclear,,
192,5ecff76b3acdb0095ebf080d,Environmental Policy A1,impersonal_moral,23.0,7,1,1,Why?,The numbers are skewed that way,30899.0,2022-09-09 19:06:20,impersonal_moral,The numbers are skewed that way,na,na,na,na,,
193,5ecff76b3acdb0095ebf080d,Environmental Policy A1,impersonal_moral,23.0,7,0,0,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B?",Policy A,30899.0,2022-09-09 19:06:21,impersonal_moral,Policy A,False,False,True,unclear,,
196,5ecff76b3acdb0095ebf080d,Vaccine Test,personal_moral,24.0,41,1,1,Why?,It's unpleasant but youre not choosing who to kill,36063.0,2022-09-09 19:06:56,personal_moral,It's unpleasant but youre not choosing who to kill,na,na,na,na,,
197,5ecff76b3acdb0095ebf080d,Vaccine Test,personal_moral,24.0,41,0,0,"A viral epidemic has spread across the globe killing millions of people. You  have developed two substances in your home laboratory. You know that one of them is a vaccine, but you donâ€™t know which one. You also know that the other one is deadly. Once you figure out which substance is the vaccine you can use it to save millions of lives. You have with you two people who areunder your care, and the only way to identify the vaccine is to inject each of these people with one of the two substances. One person will live, the other will die, and you will be able to start saving lives with your vaccine. Is it appropriate for you to kill one of these people with a deadly injection in order to identify a vaccine that will save millions of lives?",yes,36063.0,2022-09-09 19:06:57,personal_moral,yes,True,False,False,yes,,
198,5ecff76b3acdb0095ebf080d,Architect,personal_moral,25.0,24,0,0,"You are a young architect visiting one of your construction sites with your  boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting, he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life?",No,40351.0,2022-09-09 19:07:37,personal_moral,No,False,True,False,no,,
199,5ecff76b3acdb0095ebf080d,Architect,personal_moral,25.0,24,1,1,Why?,That is murder of the boss,40351.0,2022-09-09 19:07:38,personal_moral,That is murder of the boss,na,na,na,na,,
202,5ecff76b3acdb0095ebf080d,Scenic Route,non_moral,26.0,52,1,1,Why?,15 minutes is good value here,50505.0,2022-09-09 19:08:28,non_moral,15 minutes is good value here,na,na,na,na,,
203,5ecff76b3acdb0095ebf080d,Scenic Route,non_moral,26.0,52,0,0,"An old friend has invited you to spend the weekend with him at  his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friendâ€™s house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friendâ€™s house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive?",Yes,50505.0,2022-09-09 19:08:29,non_moral,Yes,True,False,False,yes,,
204,5ecff76b3acdb0095ebf080d,Standard Trolley,impersonal_moral,27.0,3,0,0,"You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",yes,18769.0,2022-09-09 19:08:47,impersonal_moral,yes,True,False,False,yes,,
205,5ecff76b3acdb0095ebf080d,Standard Trolley,impersonal_moral,27.0,3,1,1,Why?,1 death is better than five,18769.0,2022-09-09 19:08:48,impersonal_moral,1 death is better than five,na,na,na,na,,
208,5ecff76b3acdb0095ebf080d,Vitamins,personal_moral,28.0,40,1,1,Why?,It's not appropriate to do so,67181.0,2022-09-09 19:09:54,personal_moral,It's not appropriate to do so,na,na,na,na,,
209,5ecff76b3acdb0095ebf080d,Vitamins,personal_moral,28.0,40,0,0,"You are the leader of a mountaineering expedition that is stranded in the  wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few peopleâ€™s kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this manâ€™s kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this manâ€™s kidney in order to save the lives of the six vitamin-deficient people?",No,67181.0,2022-09-09 19:09:55,personal_moral,No,False,True,False,no,,
212,5ecff76b3acdb0095ebf080d,Plane Crash,personal_moral,29.0,28,0,0,"Your plane has crashed in the Himalayas. The only survivors are yourself, another  man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety?",Maybe,55312.0,2022-09-09 19:10:49,personal_moral,Maybe,False,False,True,unclear,,
213,5ecff76b3acdb0095ebf080d,Plane Crash,personal_moral,29.0,28,1,1,Why?,Depends on more information,55312.0,2022-09-09 19:10:50,personal_moral,Depends on more information,na,na,na,na,,
214,5ecff76b3acdb0095ebf080d,Broken VCR,non_moral,30.0,55,1,1,Why?,"Same cost, better result here",22338.0,2022-09-09 19:11:12,non_moral,"Same cost, better result here",na,na,na,na,,
215,5ecff76b3acdb0095ebf080d,Broken VCR,non_moral,30.0,55,0,0,You have brought your broken VCR to the local repair shop. The woman  working at the shop tells you that it will cost you about $100 to have it fixed. You noticed in the paper that morning that the electronics shop next door is having a sale on VCRâ€™s and that a certain new VCR which is slightly better than your old one is on sale for $100. Would you have your old VCR fixed in order to avoid spending money on a new one?,No,22338.0,2022-09-09 19:11:13,non_moral,No,False,True,False,no,,
216,5ecff76b3acdb0095ebf080d,Lawrence of Arabia,personal_moral,31.0,37,1,1,Why?,No guarantee that will work,31961.0,2022-09-09 19:11:44,personal_moral,No guarantee that will work,na,na,na,na,,
217,5ecff76b3acdb0095ebf080d,Lawrence of Arabia,personal_moral,31.0,37,0,0,"You are the leader of a small army that consists of warriors from  two tribes, the hill tribe and the river tribe. You belong to neither tribe. During the night a hill tribesman got into an argument with a river tribesman and murdered him. The river tribe will attack the hill tribe unless the murderer is put to death, but the hill tribe refuses to kill one of its own warriors. The only way for you to avoid a war between the two tribes that will costs hundreds of lives is to publicly execute the murderer by cutting off is head with your sword. Is it appropriate for you to cut off this manâ€™s head in order to prevent the two tribes from fighting a war that will cost hundreds of lives?",No,31961.0,2022-09-09 19:11:45,personal_moral,No,False,True,False,no,,
220,62d6d77df59450e545fb22f6,Coupons,non_moral,1.0,51,0,0,"You have gone to a bookstore to buy $50 worth of books. You  have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year?",Yes i would use the 30% coupon ,357433.0,2022-09-09 19:11:58,non_moral,Yes i would use the 30% coupon ,True,False,False,yes,,
221,62d6d77df59450e545fb22f6,Coupons,non_moral,1.0,51,1,1,Why?,Reason being it has a higher value to the 25% one obviously and also because it expires tomorrow and would want that to go to waste plus i will a further 25% which i can use whenever in the next year,357433.0,2022-09-09 19:11:59,non_moral,Reason being it has a higher value to the 25% one obviously and also because it expires tomorrow and would want that to go to waste plus i will a further 25% which i can use whenever in the next year,na,na,na,na,,
222,5ecff76b3acdb0095ebf080d,Country Road,personal_moral,32.0,23,0,0,"You are driving along a country road when you hear a plea for  help coming from some roadside bushes. You pull over and encounter a man whose legs are covered with blood. The man explains that he has had an accident while hiking and asks you to take him to a nearby hospital. Your initial inclination is to help this man, who will probably lose his leg if he does not get to the hospital soon. However, if you give this man a lift, his blood will ruin the leather upholstery of your car. Is it appropriate for you to leave this man by the side of the road in order to preserve your leather upholstery?",No,26942.0,2022-09-09 19:12:11,personal_moral,No,False,True,False,no,,
223,5ecff76b3acdb0095ebf080d,Country Road,personal_moral,32.0,23,1,1,Why?,Life is more important than leather,26942.0,2022-09-09 19:12:12,personal_moral,Life is more important than leather,na,na,na,na,,
224,5ecff76b3acdb0095ebf080d,Submarine,personal_moral,33.0,36,0,0,You are the captain of a military submarine travelling underneath a large iceberg.  An onboard explosion has caused you to lose most of your oxygen supply and has injured one of your crew who is quickly losing blood. The injured crew member is going to die from his wounds no matter what happens. The remaining oxygen is not sufficient for the entire crew to make it to the surface. The only way to save the other crew members is to shoot dead the injured crew member so that there will be just enough oxygen for the rest of the crew to survive. Is it appropriate for you to kill the fatally injured crew member in order to save the lives of the remaining crew members?,Yes,24685.0,2022-09-09 19:12:36,personal_moral,Yes,True,False,False,yes,,
